workload,backend,trial,events,elapsed_seconds,events_per_second,p50_us,p95_us,p99_us,trades,active_orders
crossing,python,0,100000,0.355829167,281033.7354947634,2.5,8.083,11.916,78909,20931
crossing,cpp,0,100000,0.232242542,430584.3328221924,1.291,6.167,8.375,78909,20931
crossing,cpp,1,100000,0.236128458,423498.2976935376,1.333,6.25,8.958,78909,20931
crossing,python,1,100000,0.3495485,286083.33321413194,2.458,8.042,11.709,78909,20931
crossing,python,2,100000,0.35723375,279928.7581310556,2.417,8.0,11.666,78909,20931
crossing,cpp,2,100000,0.235892792,423921.38883158413,1.333,6.208,8.291,78909,20931
crossing,cpp,3,100000,0.231497666,431969.79791580274,1.334,6.209,8.375,78909,20931
crossing,python,3,100000,0.353086541,283216.68596254993,2.459,8.042,11.75,78909,20931
crossing,python,4,100000,0.351379375,284592.6856122389,2.5,8.083,11.792,78909,20931
crossing,cpp,4,100000,0.2305175,433806.54397171584,1.292,6.167,8.25,78909,20931
resting,python,0,100000,0.276640958,361479.3728410961,2.041,2.792,3.417,0,100000
resting,cpp,0,100000,0.097568375,1024922.2660518842,0.917,1.375,1.667,0,100000
resting,cpp,1,100000,0.106593625,938142.4076721286,0.958,1.75,2.208,0,100000
resting,python,1,100000,0.30849375,324155.6757632853,2.0,2.667,3.208,0,100000
resting,python,2,100000,0.300218333,333090.91753567226,1.959,2.625,3.417,0,100000
resting,cpp,2,100000,0.103625041,965017.7122728472,0.958,1.666,2.042,0,100000
resting,cpp,3,100000,0.099789833,1002106.0963194518,0.917,1.542,1.917,0,100000
resting,python,3,100000,0.293021166,341272.2751912058,2.042,2.833,3.542,0,100000
resting,python,4,100000,0.269712959,370764.5356410183,2.125,3.0,3.708,0,100000
resting,cpp,4,100000,0.109065291,916881.9803543183,0.917,1.417,1.709,0,100000
cancel_replace,python,0,100000,0.115103333,868784.5729019854,1.292,1.834,2.417,0,0
cancel_replace,cpp,0,100000,0.092320083,1083187.9343089412,0.833,1.666,2.0,0,0
cancel_replace,cpp,1,100000,0.088978166,1123871.2202721734,0.833,1.625,1.958,0,0
cancel_replace,python,1,100000,0.109592834,912468.419239893,1.292,1.75,2.333,0,0
cancel_replace,python,2,100000,0.114131583,876181.6613022883,1.292,1.667,1.958,0,0
cancel_replace,cpp,2,100000,0.087702791,1140214.568542066,0.833,1.666,2.042,0,0
cancel_replace,cpp,3,100000,0.086433542,1156958.2558585878,0.833,1.583,1.708,0,0
cancel_replace,python,3,100000,0.10910175,916575.5819682085,1.292,1.666,2.042,0,0
cancel_replace,python,4,100000,0.1140405,876881.4587799947,1.292,1.709,2.0,0,0
cancel_replace,cpp,4,100000,0.087722958,1139952.439816268,0.833,1.583,1.667,0,0
mixed,python,0,100000,0.380596708,262745.3099252766,2.75,8.25,12.125,89838,6800
mixed,cpp,0,100000,0.252162042,396570.39262078947,2.333,6.417,8.834,89838,6800
mixed,cpp,1,100000,0.253593208,394332.32770177344,2.292,6.375,8.958,89838,6800
mixed,python,1,100000,0.366312458,272990.9884746535,2.709,8.125,11.791,89838,6800
mixed,python,2,100000,0.3702125,270115.1365769659,2.708,8.084,11.708,89838,6800
mixed,cpp,2,100000,0.250572459,399086.15814797103,1.875,6.25,8.417,89838,6800
mixed,cpp,3,100000,0.252151583,396586.8419711646,1.875,6.25,8.417,89838,6800
mixed,python,3,100000,0.36331525,275243.0568218648,2.625,8.0,11.5,89838,6800
mixed,python,4,100000,0.365133875,273872.1516868299,2.667,8.083,11.667,89838,6800
mixed,cpp,4,100000,0.253872,393899.28783008765,1.875,6.292,8.5,89838,6800
