workload,backend,trial,events,elapsed_seconds,events_per_second,p50_us,p95_us,p99_us,trades,active_orders
crossing,python,0,100000,0.35191675,284158.11409942835,2.625,8.167,11.75,78837,21006
crossing,cpp,0,100000,0.281931458,354696.1403647265,1.458,6.25,9.25,78837,21006
crossing,cpp,1,100000,0.239893625,416851.42737744696,1.5,6.208,8.417,78837,21006
crossing,python,1,100000,0.37060775,269827.06109087035,2.541,8.167,12.041,78837,21006
crossing,python,2,100000,0.358442125,278985.0662781335,2.583,8.25,12.209,78837,21006
crossing,cpp,2,100000,0.241481875,414109.7546140885,1.542,6.375,8.875,78837,21006
crossing,cpp,3,100000,0.2456765,407039.33831685164,1.5,6.291,8.625,78837,21006
crossing,python,3,100000,0.354064792,282434.1822724921,2.583,8.292,12.333,78837,21006
crossing,python,4,100000,0.3592425,278363.5009777518,2.458,8.208,12.25,78837,21006
crossing,cpp,4,100000,0.260791333,383448.3257156402,1.375,6.167,8.834,78837,21006
resting,python,0,100000,0.304617875,328280.14442684955,2.083,2.875,3.5,0,100000
resting,cpp,0,100000,0.111180042,899442.005967222,0.959,1.708,2.083,0,100000
resting,cpp,1,100000,0.109103416,916561.5859360445,0.917,1.333,1.542,0,100000
resting,python,1,100000,0.278657458,358863.53344973095,2.0,2.875,3.542,0,100000
resting,python,2,100000,0.291505541,343046.6524133756,2.041,2.917,3.667,0,100000
resting,cpp,2,100000,0.115303583,867275.7376498872,0.958,1.584,1.958,0,100000
resting,cpp,3,100000,0.106757166,936705.269976912,1.0,1.709,2.125,0,100000
resting,python,3,100000,0.287769375,347500.49410226505,1.917,2.667,3.417,0,100000
resting,python,4,100000,0.266374167,375411.77932618366,2.0,2.916,3.625,0,100000
resting,cpp,4,100000,0.110484792,905101.9438041754,0.959,1.625,1.959,0,100000
cancel_replace,python,0,100000,0.110681625,903492.3366909367,1.333,1.875,2.417,0,0
cancel_replace,cpp,0,100000,0.083460875,1198166.2066207668,0.792,1.5,1.625,0,0
cancel_replace,cpp,1,100000,0.086828291,1151698.3560116368,0.792,1.5,1.625,0,0
cancel_replace,python,1,100000,0.11172475,895056.8249201721,1.292,1.625,1.959,0,0
cancel_replace,python,2,100000,0.109353042,914469.3020976956,1.292,1.709,2.25,0,0
cancel_replace,cpp,2,100000,0.084866167,1178325.8692477532,0.833,1.542,1.875,0,0
cancel_replace,cpp,3,100000,0.087556541,1142119.1250577155,0.833,1.542,1.875,0,0
cancel_replace,python,3,100000,0.112870917,885967.8175556951,1.292,1.666,1.917,0,0
cancel_replace,python,4,100000,0.10846,921998.8936013277,1.292,1.792,2.417,0,0
cancel_replace,cpp,4,100000,0.08550575,1169511.9918835866,0.833,1.542,1.75,0,0
mixed,python,0,100000,0.391458625,255454.83893732063,2.834,8.5,12.25,89791,6697
mixed,cpp,0,100000,0.257193209,388812.75438341766,1.958,6.25,8.458,89791,6697
mixed,cpp,1,100000,0.26328425,379817.6305646844,2.375,6.583,9.208,89791,6697
mixed,python,1,100000,0.37597625,265974.24704353,2.834,8.5,12.209,89791,6697
mixed,python,2,100000,0.374630166,266929.91935945704,2.791,8.416,12.292,89791,6697
mixed,cpp,2,100000,0.263082958,380108.23947022826,2.333,6.458,9.042,89791,6697
mixed,cpp,3,100000,0.26365925,379277.4196240033,2.375,6.542,9.167,89791,6697
mixed,python,3,100000,0.384199083,260281.72482650095,2.916,8.625,12.417,89791,6697
mixed,python,4,100000,0.370617125,269820.2356407573,2.875,8.5,12.167,89791,6697
mixed,cpp,4,100000,0.25905925,386012.0802480513,1.917,6.25,9.083,89791,6697
