workload,backend,trial,events,elapsed_seconds,events_per_second,p50_us,p95_us,p99_us,trades,active_orders
crossing,python,0,100000,0.37106175,269496.9233557487,2.625,8.417,12.75,78909,20931
crossing,cpp,0,100000,0.251841208,397075.6048787695,1.625,6.333,9.209,78909,20931
crossing,cpp,1,100000,0.250799,398725.67274989135,1.5,6.209,9.0,78909,20931
crossing,python,1,100000,0.361079959,276946.96841371915,2.583,8.333,12.667,78909,20931
crossing,python,2,100000,0.3692905,270789.527485814,2.541,8.334,13.041,78909,20931
crossing,cpp,2,100000,0.254872875,392352.46198717697,1.541,6.292,9.458,78909,20931
crossing,cpp,3,100000,0.251738583,397237.4786903444,1.459,6.209,9.25,78909,20931
crossing,python,3,100000,0.361569875,276571.7138353963,2.583,8.333,12.75,78909,20931
crossing,python,4,100000,0.3626035,275783.32807046815,2.583,8.334,12.666,78909,20931
crossing,cpp,4,100000,0.250701084,398881.4025231737,1.584,6.292,9.125,78909,20931
resting,python,0,100000,0.269702583,370778.7996972947,2.041,2.75,3.916,0,100000
resting,cpp,0,100000,0.135425,738416.097470925,1.0,1.792,2.292,0,100000
resting,cpp,1,100000,0.116169167,860813.6098625894,1.041,2.167,3.292,0,100000
resting,python,1,100000,0.289498,345425.52971004986,2.167,3.875,13.083,0,100000
resting,python,2,100000,0.281030583,355833.15855698165,1.959,2.541,4.875,0,100000
resting,cpp,2,100000,0.113423917,881648.2682395813,1.166,2.0,2.667,0,100000
resting,cpp,3,100000,0.110168708,907698.7632459119,0.959,1.583,2.0,0,100000
resting,python,3,100000,0.268589083,372315.9515012753,2.0,2.667,6.0,0,100000
resting,python,4,100000,0.290789792,343891.0262709635,2.0,2.875,7.541,0,100000
resting,cpp,4,100000,0.110645625,903786.299729429,0.959,1.584,1.916,0,100000
cancel_replace,python,0,100000,0.112608958,888028.8191637472,1.333,1.75,2.042,0,0
cancel_replace,cpp,0,100000,0.090169958,1109016.819105095,0.833,1.583,1.708,0,0
cancel_replace,cpp,1,100000,0.088844708,1125559.442437472,0.833,1.583,1.75,0,0
cancel_replace,python,1,100000,0.11580775,863500.0680006304,1.333,1.833,2.25,0,0
cancel_replace,python,2,100000,0.115368584,866787.0969101953,1.334,1.834,2.209,0,0
cancel_replace,cpp,2,100000,0.089673417,1115157.6837983099,0.833,1.584,1.833,0,0
cancel_replace,cpp,3,100000,0.090221625,1108381.721122846,0.833,1.583,1.75,0,0
cancel_replace,python,3,100000,0.121078625,825909.6103874652,1.334,1.875,2.292,0,0
cancel_replace,python,4,100000,0.114124958,876232.5240023308,1.333,1.833,2.167,0,0
cancel_replace,cpp,4,100000,0.089883125,1112555.8885497139,0.833,1.583,1.708,0,0
mixed,python,0,100000,0.381297542,262262.3777627184,2.75,8.458,12.583,89838,6800
mixed,cpp,0,100000,0.672754875,148642.5497845705,2.417,6.709,10.167,89838,6800
mixed,cpp,1,100000,0.272069583,367553.03146107297,2.0,6.417,9.459,89838,6800
mixed,python,1,100000,0.369585667,270573.2633295003,2.625,8.125,12.167,89838,6800
mixed,python,2,100000,0.369698541,270490.6536268965,2.625,8.666,12.792,89838,6800
mixed,cpp,2,100000,0.268484708,372460.6915042625,1.916,6.25,8.834,89838,6800
mixed,cpp,3,100000,0.256703292,389554.801657939,1.875,6.209,8.458,89838,6800
mixed,python,3,100000,0.375328208,266433.47840245464,2.583,8.0,11.875,89838,6800
mixed,python,4,100000,0.370363708,270004.8569553688,2.625,8.042,11.834,89838,6800
mixed,cpp,4,100000,0.257385708,388521.9609785016,2.291,6.417,9.792,89838,6800
