workload,backend,trial,events,elapsed_seconds,events_per_second,p50_us,p95_us,p99_us,trades,active_orders
crossing,python,0,100000,0.366453916,272885.60889604467,2.458,8.334,12.875,79097,20750
crossing,cpp,0,100000,0.252926875,395371.1917723255,1.458,6.25,9.417,79097,20750
crossing,cpp,1,100000,0.240060625,416561.4415108684,1.375,6.125,8.458,79097,20750
crossing,python,1,100000,0.357289416,279885.14498845383,2.459,8.458,13.25,79097,20750
crossing,python,2,100000,0.373387167,267818.52414333244,2.625,9.333,14.709,79097,20750
crossing,cpp,2,100000,0.261736583,382063.51918333094,1.833,7.625,11.25,79097,20750
crossing,cpp,3,100000,0.280676084,356282.58230936417,1.458,6.334,10.042,79097,20750
crossing,python,3,100000,0.378457542,264230.43248534336,2.459,8.542,13.75,79097,20750
crossing,python,4,100000,0.375206792,266519.6956242732,2.625,9.5,15.208,79097,20750
crossing,cpp,4,100000,0.282234042,354315.8695222173,1.708,7.5,11.333,79097,20750
resting,python,0,100000,0.263628334,379321.8979261918,1.958,2.584,4.333,0,100000
resting,cpp,0,100000,0.11718675,853338.7947016194,1.0,1.667,2.292,0,100000
resting,cpp,1,100000,0.109872042,910149.6448022692,0.959,1.584,2.167,0,100000
resting,python,1,100000,0.26475775,377703.7688226312,1.958,2.5,4.042,0,100000
resting,python,2,100000,0.26436525,378264.5411982097,1.958,2.5,4.167,0,100000
resting,cpp,2,100000,0.13776625,725867.1844519249,1.041,1.709,2.625,0,100000
resting,cpp,3,100000,0.110601084,904150.270353589,1.0,1.625,2.042,0,100000
resting,python,3,100000,0.291847917,342644.2135614077,2.041,2.75,3.708,0,100000
resting,python,4,100000,0.300257708,333047.2368755975,2.042,2.792,3.917,0,100000
resting,cpp,4,100000,0.135324208,738966.0835849858,1.0,1.792,2.292,0,100000
cancel_replace,python,0,100000,0.110227416,907215.3156525053,1.292,1.708,1.875,0,0
cancel_replace,cpp,0,100000,0.089158416,1121599.1096118172,0.792,1.541,1.625,0,0
cancel_replace,cpp,1,100000,0.085297083,1172373.0341399836,0.792,1.541,1.625,0,0
cancel_replace,python,1,100000,0.1126905,887386.2481753121,1.292,1.709,1.959,0,0
cancel_replace,python,2,100000,0.113235583,883114.6301423643,1.292,1.75,2.042,0,0
cancel_replace,cpp,2,100000,0.08707225,1148471.5279552324,0.792,1.5,1.625,0,0
cancel_replace,cpp,3,100000,0.086939709,1150222.391473613,0.792,1.542,1.708,0,0
cancel_replace,python,3,100000,0.114264416,875163.0953944578,1.292,1.75,2.0,0,0
cancel_replace,python,4,100000,0.11282725,886310.7095138807,1.292,1.75,2.0,0,0
cancel_replace,cpp,4,100000,0.086936708,1150262.0964207663,0.792,1.542,1.667,0,0
mixed,python,0,100000,0.384733375,259920.26296133004,2.667,8.375,12.417,89910,6741
mixed,cpp,0,100000,0.262225666,381350.92390231544,2.042,6.334,9.167,89910,6741
mixed,cpp,1,100000,0.262999666,380228.619758019,1.917,6.208,9.0,89910,6741
mixed,python,1,100000,0.381449417,262157.95736817183,2.667,8.333,12.333,89910,6741
mixed,python,2,100000,0.385056292,259702.28789301278,2.708,8.416,12.542,89910,6741
mixed,cpp,2,100000,0.257539167,388290.45370019384,1.959,6.25,9.125,89910,6741
mixed,cpp,3,100000,0.264345125,378293.33905817254,1.959,6.25,8.959,89910,6741
mixed,python,3,100000,0.378324792,264323.1480320222,2.667,8.334,12.375,89910,6741
mixed,python,4,100000,0.380616125,262731.90606414794,2.708,8.334,12.334,89910,6741
mixed,cpp,4,100000,0.260988791,383158.21770292043,2.208,6.334,9.167,89910,6741
