workload,backend,trial,events,elapsed_seconds,events_per_second,p50_us,p95_us,p99_us,trades,active_orders
crossing,python,0,100000,0.361068416,276955.8221342738,2.667,8.25,12.042,78909,20931
crossing,cpp,0,100000,0.231445834,432066.53700234677,1.417,6.25,8.459,78909,20931
crossing,cpp,1,100000,0.230620083,433613.5808259162,1.417,6.333,8.959,78909,20931
crossing,python,1,100000,0.364696625,274200.50843629276,2.5,8.084,11.917,78909,20931
crossing,python,2,100000,0.360857083,277118.0190468923,2.625,8.166,11.833,78909,20931
crossing,cpp,2,100000,0.24584825,406754.97995206394,1.416,6.375,8.875,78909,20931
crossing,cpp,3,100000,0.234133042,427107.5929556324,1.375,6.333,8.75,78909,20931
crossing,python,3,100000,0.357709583,279556.3908613541,2.625,8.208,11.959,78909,20931
crossing,python,4,100000,0.358981917,278565.5635127716,2.5,8.042,11.584,78909,20931
crossing,cpp,4,100000,0.231332458,432278.2927417821,1.375,6.25,8.459,78909,20931
resting,python,0,100000,0.297602833,336018.306653687,2.042,2.916,3.625,0,100000
resting,cpp,0,100000,0.095188292,1050549.367983197,0.917,1.375,1.667,0,100000
resting,cpp,1,100000,0.107188333,932937.3561579692,0.958,1.75,2.167,0,100000
resting,python,1,100000,0.30270575,330353.8171970635,2.042,2.875,3.583,0,100000
resting,python,2,100000,0.270286333,369978.0114298269,2.042,2.917,3.583,0,100000
resting,cpp,2,100000,0.110848583,902131.5139409585,0.917,1.625,2.042,0,100000
resting,cpp,3,100000,0.1009175,990908.4152897169,0.917,1.625,2.042,0,100000
resting,python,3,100000,0.260958083,383203.3054902538,2.042,2.875,3.542,0,100000
resting,python,4,100000,0.297355708,336297.563186512,2.083,2.917,3.542,0,100000
resting,cpp,4,100000,0.108055584,925449.6278507921,0.917,1.625,2.0,0,100000
cancel_replace,python,0,100000,0.113156917,883728.5660584054,1.291,1.75,2.25,0,0
cancel_replace,cpp,0,100000,0.083138125,1202817.6002285355,0.833,1.542,1.667,0,0
cancel_replace,cpp,1,100000,0.08687775,1151042.700806593,0.833,1.542,1.666,0,0
cancel_replace,python,1,100000,0.109777792,910931.0560737094,1.291,1.667,2.125,0,0
cancel_replace,python,2,100000,0.113328458,882390.8995567556,1.291,1.75,2.25,0,0
cancel_replace,cpp,2,100000,0.084924,1177523.432716311,0.833,1.542,1.708,0,0
cancel_replace,cpp,3,100000,0.088632875,1128249.5349496447,0.833,1.625,1.875,0,0
cancel_replace,python,3,100000,0.113514375,880945.6952038013,1.292,1.791,2.333,0,0
cancel_replace,python,4,100000,0.112680667,887463.6853187956,1.292,1.791,2.291,0,0
cancel_replace,cpp,4,100000,0.088020792,1136095.2080503888,0.833,1.542,1.917,0,0
mixed,python,0,100000,0.381005959,262463.0865681552,2.791,8.25,11.625,89838,6800
mixed,cpp,0,100000,0.25439425,393090.64572017646,2.334,6.541,9.208,89838,6800
mixed,cpp,1,100000,0.264732167,377740.269092422,2.0,6.292,8.875,89838,6800
mixed,python,1,100000,0.367917292,271800.2175336733,2.75,8.208,11.625,89838,6800
mixed,python,2,100000,0.376703125,265461.03115019284,2.75,8.209,11.625,89838,6800
mixed,cpp,2,100000,0.24965775,400548.35069209745,2.334,6.667,9.209,89838,6800
mixed,cpp,3,100000,0.282467,354023.6558606846,1.834,6.25,8.292,89838,6800
mixed,python,3,100000,0.381121833,262383.288862908,2.791,8.292,11.709,89838,6800
mixed,python,4,100000,0.381981166,261793.01206698763,2.75,8.25,11.709,89838,6800
mixed,cpp,4,100000,0.258187875,387314.85744634597,2.333,6.5,9.042,89838,6800
