workload,backend,trial,events,elapsed_seconds,events_per_second,p50_us,p95_us,p99_us,trades,active_orders
crossing,python,0,100000,0.361000958,277007.5751433325,2.667,8.25,11.833,78837,21006
crossing,cpp,0,100000,0.232673667,429786.49577908614,1.458,6.375,8.875,78837,21006
crossing,cpp,1,100000,0.24107925,414801.35681523813,1.292,6.208,8.25,78837,21006
crossing,python,1,100000,0.3635565,275060.41014257754,2.5,8.167,11.917,78837,21006
crossing,python,2,100000,0.361488834,276633.7175438177,2.666,8.25,11.75,78837,21006
crossing,cpp,2,100000,0.230570125,433707.5325782124,1.417,6.334,9.0,78837,21006
crossing,cpp,3,100000,0.235492916,424641.2236026667,1.458,6.334,8.792,78837,21006
crossing,python,3,100000,0.361846625,276360.18437369703,2.625,8.209,11.625,78837,21006
crossing,python,4,100000,0.361798334,276397.0715243813,2.666,8.292,11.75,78837,21006
crossing,cpp,4,100000,0.227673667,439225.1476320272,1.417,6.334,8.833,78837,21006
resting,python,0,100000,0.267490709,373844.7603426854,2.083,2.959,3.625,0,100000
resting,cpp,0,100000,0.096597917,1035219.0099502869,0.958,1.375,1.625,0,100000
resting,cpp,1,100000,0.107078083,933897.9294203464,1.0,1.667,2.042,0,100000
resting,python,1,100000,0.283382083,352880.4606888291,2.042,2.917,3.625,0,100000
resting,python,2,100000,0.299443875,333952.3975903664,2.042,2.958,3.75,0,100000
resting,cpp,2,100000,0.110594334,904205.4541419817,0.959,1.625,2.0,0,100000
resting,cpp,3,100000,0.107927875,926544.6947788048,0.959,1.625,2.0,0,100000
resting,python,3,100000,0.30084825,332393.49073827086,2.042,2.875,3.542,0,100000
resting,python,4,100000,0.26856775,372345.5254772772,2.042,2.916,3.542,0,100000
resting,cpp,4,100000,0.110715125,903218.9594691782,0.959,1.667,2.041,0,100000
cancel_replace,python,0,100000,0.115899875,862813.7001873384,1.292,1.791,2.333,0,0
cancel_replace,cpp,0,100000,0.086034916,1162318.7962431437,0.792,1.542,1.625,0,0
cancel_replace,cpp,1,100000,0.084044458,1189846.450077648,0.833,1.542,1.833,0,0
cancel_replace,python,1,100000,0.116461334,858654.083423087,1.292,1.667,2.084,0,0
cancel_replace,python,2,100000,0.116774792,856349.2024888385,1.292,1.791,2.333,0,0
cancel_replace,cpp,2,100000,0.087070334,1148496.8002993993,0.833,1.583,1.958,0,0
cancel_replace,cpp,3,100000,0.088929292,1124488.8804467262,0.833,1.666,2.042,0,0
cancel_replace,python,3,100000,0.117694708,849655.8740771931,1.292,1.792,2.292,0,0
cancel_replace,python,4,100000,0.116774459,856351.6444978778,1.291,1.625,1.917,0,0
cancel_replace,cpp,4,100000,0.086928625,1150369.0527717425,0.833,1.625,2.0,0,0
mixed,python,0,100000,0.372311791,268592.0844231334,2.541,8.0,11.125,89791,6697
mixed,cpp,0,100000,0.250250584,399599.46706857637,1.792,6.209,8.125,89791,6697
mixed,cpp,1,100000,0.251031375,398356.5799295008,1.833,6.25,8.208,89791,6697
mixed,python,1,100000,0.36401725,274712.25608127087,2.709,8.125,11.5,89791,6697
mixed,python,2,100000,0.370164792,270149.9498634111,2.75,8.334,12.0,89791,6697
mixed,cpp,2,100000,0.249212833,401263.4453700063,2.333,6.5,8.917,89791,6697
mixed,cpp,3,100000,0.258909625,386235.1583105495,2.333,6.5,9.167,89791,6697
mixed,python,3,100000,0.36737825,272199.02103622083,2.833,8.334,11.625,89791,6697
mixed,python,4,100000,0.362962167,275510.8082655898,2.459,7.917,11.125,89791,6697
mixed,cpp,4,100000,0.24975025,400399.9995996,1.792,6.125,8.083,89791,6697
